SEM_EXM_EXCH_ID, SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
NSE,D,37285,OPTIDX,0,BANKNIFTY-Jun2024-28000-CE,15,BANKNIFTY 19 JUN 28000 CALL,19-06-2024 14:30,28000,CE,5,W,OP,,
NSE,D,37286,OPTIDX,0,BANKNIFTY-Jun2024-28000-PE,15,BANKNIFTY 19 JUN 28000 PUT,19-06-2024 14:30,28000,PE,5,W,OP,,
NSE,D,37287,OPTIDX,0,BANKNIFTY-Jun2024-28500-CE,15,BANKNIFTY 19 JUN 28500 CALL,19-06-2024 14:30,28500,CE,5,W,OP,,
NSE,D,37288,OPTIDX,0,BANKNIFTY-Jun2024-28500-PE,15,BANKNIFTY 19 JUN 28500 PUT,19-06-2024 14:30,28500,PE,5,W,OP,,
NSE,D,37290,OPTIDX,0,BANKNIFTY-Jun2024-29000-CE,15,BANKNIFTY 19 JUN 29000 CALL,19-06-2024 14:30,29000,CE,5,W,OP,,
NSE,D,37303,OPTIDX,0,BANKNIFTY-Jun2024-29000-PE,15,BANKNIFTY 19 JUN 29000 PUT,19-06-2024 14:30,29000,PE,5,W,OP,,
NSE,D,37305,OPTIDX,0,BANKNIFTY-Jun2024-29500-CE,15,BANKNIFTY 19 JUN 29500 CALL,19-06-2024 14:30,29500,CE,5,W,OP,,
NSE,D,37309,OPTIDX,0,BANKNIFTY-Jun2024-29500-PE,15,BANKNIFTY 19 JUN 29500 PUT,19-06-2024 14:30,29500,PE,5,W,OP,,
NSE,D,37310,OPTIDX,0,BANKNIFTY-Jun2024-30000-CE,15,BANKNIFTY 19 JUN 30000 CALL,19-06-2024 14:30,30000,CE,5,W,OP,,
NSE,D,37313,OPTIDX,0,BANKNIFTY-Jun2024-30000-PE,15,BANKNIFTY 19 JUN 30000 PUT,19-06-2024 14:30,30000,PE,5,W,OP,,
NSE,D,37317,OPTIDX,0,BANKNIFTY-Jun2024-30500-CE,15,BANKNIFTY 19 JUN 30500 CALL,19-06-2024 14:30,30500,CE,5,W,OP,,
NSE,D,37324,OPTIDX,0,BANKNIFTY-Jun2024-30500-PE,15,BANKNIFTY 19 JUN 30500 PUT,19-06-2024 14:30,30500,PE,5,W,OP,,
NSE,D,37329,OPTIDX,0,BANKNIFTY-Jun2024-31000-CE,15,BANKNIFTY 19 JUN 31000 CALL,19-06-2024 14:30,31000,CE,5,W,OP,,
NSE,D,37330,OPTIDX,0,BANKNIFTY-Jun2024-31000-PE,15,BANKNIFTY 19 JUN 31000 PUT,19-06-2024 14:30,31000,PE,5,W,OP,,
